expense_date,expense_type,rows,spend
2026-05-05,advertising_clicks,183,47036.6
2026-05-05,advertising_other,14,2686.29
2026-05-06,advertising_clicks,186,54667.86
2026-05-06,advertising_other,6,213.73
2026-05-07,advertising_clicks,287,75007.57
2026-05-07,advertising_other,1,18.46
2026-05-09,advertising_clicks,329,86392.26
2026-05-09,advertising_other,1,23.26
2026-05-10,advertising_clicks,331,97370.92
2026-05-10,advertising_other,1,34.8
2026-05-11,advertising_clicks,316,96142.37
2026-05-11,advertising_other,2,459.03
2026-05-13,advertising_clicks,308,86177.57
2026-05-13,advertising_other,4,62.13
2026-05-14,advertising_clicks,322,98325.32
2026-05-14,advertising_other,1,481.2
2026-05-15,advertising_clicks,373,108016.68
2026-05-15,advertising_other,2,54.89
2026-05-16,advertising_clicks,393,119078.32
2026-05-16,advertising_other,12,4907.54
2026-05-17,advertising_clicks,364,113529.02
2026-05-17,advertising_other,29,2454.33
2026-05-18,advertising_clicks,359,99963.39
2026-05-18,advertising_other,3,427.51
2026-05-19,advertising_clicks,443,105528.05
2026-05-19,advertising_other,14,1935.72
2026-05-20,advertising_clicks,457,117595.29
2026-05-20,advertising_other,5,862.7
2026-05-21,advertising_clicks,639,144695.92
2026-05-21,advertising_other,13,1287.79
2026-05-23,advertising_clicks,149,36610.64
2026-05-23,advertising_other,12,3805.15
2026-05-24,advertising_clicks,555,154708.93
2026-05-24,advertising_other,12,1491.41
2026-05-25,advertising_clicks,565,141584.47
2026-05-25,advertising_other,23,3354.1
2026-05-27,advertising_clicks,540,144021.32
2026-05-27,advertising_other,15,2783.41
2026-05-30,advertising_clicks,581,144011.13
2026-05-30,advertising_other,18,3810.91
2026-05-31,advertising_clicks,618,171812.12
2026-05-31,advertising_other,5,71.23
2026-06-01,advertising_clicks,322,62382.16
2026-06-01,advertising_other,11,758.53
2026-06-02,advertising_clicks,92,31316.45
2026-06-02,advertising_other,3,1607.55
2026-06-03,advertising_clicks,576,140441.63
2026-06-03,advertising_other,6,74.11
2026-06-04,advertising_clicks,618,135974.35
2026-06-04,advertising_other,8,1232.55
2026-06-06,advertising_clicks,656,159026.56
2026-06-06,advertising_other,6,58.72
2026-06-07,advertising_clicks,593,148297.83
