id,expense_date,marketplace_sku,expense_type,expense_amount
378662,2026-05-05,1021490673,advertising_other,198.28
378666,2026-05-05,1220305030,advertising_other,194.14
378671,2026-05-05,1313971945,advertising_other,1.04
378663,2026-05-05,1471000441,advertising_other,271.86
378668,2026-05-05,1543280950,advertising_other,15.12
378665,2026-05-05,2538358867,advertising_other,271.78
378670,2026-05-05,2834666761,advertising_other,7.25
378667,2026-05-05,3119094016,advertising_other,15.08
378673,2026-05-05,3286680274,advertising_other,6.0
378664,2026-05-05,3437018863,advertising_other,484.14
378672,2026-05-05,3545414480,advertising_other,5.98
378669,2026-05-05,3545632370,advertising_other,88.92
378661,2026-05-05,3560250855,advertising_other,706.8
378659,2026-05-05,3560254398,advertising_other,419.9
393403,2026-05-06,1470999563,advertising_other,88.47
393351,2026-05-06,1549380654,advertising_other,70.14
393468,2026-05-06,3256155531,advertising_other,12.32
393462,2026-05-06,3256176459,advertising_other,6.03
393465,2026-05-06,3560268777,advertising_other,6.13
393368,2026-05-06,997204337,advertising_other,30.64
408434,2026-05-07,1730787295,advertising_other,18.46
438669,2026-05-09,1557195202,advertising_other,23.26
453705,2026-05-10,1313888131,advertising_other,34.8
468947,2026-05-11,1116114621,advertising_other,451.23
468956,2026-05-11,997195851,advertising_other,7.8
514807,2026-05-13,1313972684,advertising_other,21.4
514764,2026-05-13,1499623221,advertising_other,8.64
514908,2026-05-13,3119094550,advertising_other,20.91
514849,2026-05-13,3215822872,advertising_other,11.18
530381,2026-05-14,1502338428,advertising_other,481.2
531326,2026-05-15,3119094507,advertising_other,30.21
531320,2026-05-15,3119094700,advertising_other,24.68
547307,2026-05-16,1010696967,advertising_other,472.26
547386,2026-05-16,1010741923,advertising_other,452.51
547339,2026-05-16,1010767000,advertising_other,435.13
547342,2026-05-16,1021502492,advertising_other,469.86
547265,2026-05-16,1269608122,advertising_other,437.57
547241,2026-05-16,1313545056,advertising_other,11.64
547369,2026-05-16,1383104711,advertising_other,486.54
547328,2026-05-16,1383105223,advertising_other,483.0
547393,2026-05-16,1456816182,advertising_other,407.86
547373,2026-05-16,1623624318,advertising_other,445.28
547303,2026-05-16,964607297,advertising_other,417.59
547385,2026-05-16,989430811,advertising_other,388.3
563415,2026-05-17,1010696967,advertising_other,33.4
563489,2026-05-17,1010741923,advertising_other,8.77
563445,2026-05-17,1010767000,advertising_other,18.72
563469,2026-05-17,1011467864,advertising_other,28.45
563423,2026-05-17,1045776863,advertising_other,122.0
563439,2026-05-17,1065203196,advertising_other,145.9
563416,2026-05-17,1068519739,advertising_other,73.03
563480,2026-05-17,1175221871,advertising_other,13.31
563372,2026-05-17,1219876238,advertising_other,348.92
563358,2026-05-17,1444879947,advertising_other,78.29
563347,2026-05-17,1444882627,advertising_other,253.07
563496,2026-05-17,1456816182,advertising_other,21.4
563375,2026-05-17,1549381075,advertising_other,20.42
563431,2026-05-17,1549381436,advertising_other,69.16
563427,2026-05-17,1620655459,advertising_other,4.86
563295,2026-05-17,1620655754,advertising_other,14.1
563403,2026-05-17,1620655885,advertising_other,48.82
563476,2026-05-17,1623624318,advertising_other,28.98
563446,2026-05-17,1626401967,advertising_other,104.07
563405,2026-05-17,2574029918,advertising_other,22.78
563468,2026-05-17,2679366812,advertising_other,51.65
563477,2026-05-17,2839137847,advertising_other,106.94
563433,2026-05-17,3286739373,advertising_other,62.38
563345,2026-05-17,3543836404,advertising_other,38.52
563366,2026-05-17,3560576504,advertising_other,156.19
563370,2026-05-17,968268298,advertising_other,117.39
563475,2026-05-17,968268403,advertising_other,34.47
563488,2026-05-17,989430811,advertising_other,23.86
563382,2026-05-17,989446177,advertising_other,404.48
579760,2026-05-18,1269613903,advertising_other,24.76
579810,2026-05-18,2838742899,advertising_other,8.55
579857,2026-05-18,3507590773,advertising_other,394.2
596366,2026-05-19,1066697734,advertising_other,225.27
596418,2026-05-19,1219871964,advertising_other,9.76
596336,2026-05-19,1300117700,advertising_other,99.35
596320,2026-05-19,1448784642,advertising_other,396.41
596345,2026-05-19,1448785258,advertising_other,84.75
596322,2026-05-19,1448822363,advertising_other,211.78
596386,2026-05-19,1471000441,advertising_other,147.01
596376,2026-05-19,1538676008,advertising_other,84.52
596335,2026-05-19,1549380602,advertising_other,216.39
596478,2026-05-19,1554819310,advertising_other,90.93
596319,2026-05-19,1620587345,advertising_other,31.48
596591,2026-05-19,3119094209,advertising_other,3.85
596492,2026-05-19,997206162,advertising_other,200.78
596367,2026-05-19,997206323,advertising_other,133.44
613256,2026-05-20,1011802893,advertising_other,313.37
613244,2026-05-20,1456816053,advertising_other,259.42
613246,2026-05-20,1502336426,advertising_other,250.54
613220,2026-05-20,1620655754,advertising_other,13.73
613209,2026-05-20,3255894785,advertising_other,25.64
630443,2026-05-21,1011771838,advertising_other,131.27
630446,2026-05-21,1011802893,advertising_other,13.46
630442,2026-05-21,1021497496,advertising_other,5.5
630531,2026-05-21,1045776863,advertising_other,161.02
630563,2026-05-21,1175227677,advertising_other,292.29
630487,2026-05-21,1269608122,advertising_other,3.9
630698,2026-05-21,1269608327,advertising_other,1.74
630440,2026-05-21,1312310308,advertising_other,220.54
630406,2026-05-21,1313569252,advertising_other,108.57
630457,2026-05-21,1444882627,advertising_other,18.87
630425,2026-05-21,1502336426,advertising_other,79.91
630435,2026-05-21,1502338428,advertising_other,24.88
630433,2026-05-21,958696442,advertising_other,225.84
648205,2026-05-23,1011798220,advertising_other,224.14
648183,2026-05-23,1021530556,advertising_other,362.63
648226,2026-05-23,1059424862,advertising_other,307.52
